node_id,local_rank,rank,iteration,time_usec
0,0,0,0,157598
0,1,1,0,181480
0,2,2,0,181478
0,3,3,0,181489
0,0,0,1,39805
0,1,1,1,199732
0,2,2,1,199731
0,3,3,1,199742
0,0,0,2,60850
0,1,1,2,190708
0,2,2,2,181704
0,3,3,2,190710
0,0,0,3,146458
0,1,1,3,190454
0,2,2,3,201450
0,3,3,3,200462
0,0,0,4,1051815
0,1,1,4,181805
0,2,2,4,189807
0,3,3,4,199816
0,0,0,5,28360
0,1,1,5,182805
0,2,2,5,182804
0,3,3,5,182809
0,0,0,6,3066338
0,1,1,6,198843
0,2,2,6,198838
0,3,3,6,198849
0,0,0,7,132630
0,1,1,7,181296
0,2,2,7,182294
0,3,3,7,181294
0,0,0,8,29356
0,1,1,8,196023
0,2,2,8,196022
0,3,3,8,196020
0,0,0,9,136029
0,1,1,9,191992
0,2,2,9,191996
0,3,3,9,191991
0,0,0,10,125759
0,1,1,10,184628
0,2,2,10,184626
0,3,3,10,183625
0,0,0,11,149246
0,1,1,11,197386
0,2,2,11,196385
0,3,3,11,196384
0,0,0,12,138240
0,1,1,12,193480
0,2,2,12,193486
0,3,3,12,193477
0,0,0,13,96344
0,1,1,13,190962
0,2,2,13,193967
0,3,3,13,190963
0,0,0,14,175106
0,1,1,14,188785
0,2,2,14,188783
0,3,3,14,188783
0,0,0,15,129864
0,1,1,15,190042
0,2,2,15,173040
0,3,3,15,182040
0,0,0,16,170417
0,1,1,16,208481
0,2,2,16,183479
0,3,3,16,185479
0,0,0,17,146240
0,1,1,17,178806
0,2,2,17,182806
0,3,3,17,181804
0,0,0,18,67333
0,1,1,18,189461
0,2,2,18,198460
0,3,3,18,185459
0,0,0,19,43999
0,1,1,19,189598
0,2,2,19,189598
0,3,3,19,189597
0,0,0,20,1054077
0,1,1,20,191564
0,2,2,20,187560
0,3,3,20,183563
0,0,0,21,1054769
0,1,1,21,182289
0,2,2,21,182289
0,3,3,21,182286
0,0,0,22,157597
0,1,1,22,181338
0,2,2,22,173344
0,3,3,22,182340
0,0,0,23,132283
0,1,1,23,196229
0,2,2,23,181238
0,3,3,23,195232
0,0,0,24,42162
0,1,1,24,191716
0,2,2,24,190724
0,3,3,24,191716
0,0,0,25,1069559
0,1,1,25,192519
0,2,2,25,181527
0,3,3,25,192519
0,0,0,26,44567
0,1,1,26,182782
0,2,2,26,182781
0,3,3,26,190783
0,0,0,27,118568
0,1,1,27,187335
0,2,2,27,183337
0,3,3,27,192336
0,0,0,28,1068062
0,1,1,28,191652
0,2,2,28,191660
0,3,3,28,191652
0,0,0,29,104137
0,1,1,29,182406
0,2,2,29,182409
0,3,3,29,182405
0,0,0,30,38368
0,1,1,30,198760
0,2,2,30,199758
0,3,3,30,199758
0,0,0,31,1056106
0,1,1,31,188624
0,2,2,31,187625
0,3,3,31,188624
0,0,0,32,1074313
0,1,1,32,182292
0,2,2,32,182290
0,3,3,32,182290
0,0,0,33,168090
0,1,1,33,182801
0,2,2,33,182798
0,3,3,33,181801
0,0,0,34,1052851
0,1,1,34,194146
0,2,2,34,190143
0,3,3,34,199144
0,0,0,35,1064681
0,1,1,35,180112
0,2,2,35,176121
0,3,3,35,172112
0,0,0,36,145404
0,1,1,36,182251
0,2,2,36,182251
0,3,3,36,182253
0,0,0,37,1057360
0,1,1,37,191825
0,2,2,37,190826
0,3,3,37,191826
0,0,0,38,141359
0,1,1,38,184288
0,2,2,38,185294
0,3,3,38,186289
0,0,0,39,156156
0,1,1,39,189787
0,2,2,39,189789
0,3,3,39,189787
0,0,0,40,46473
0,1,1,40,186522
0,2,2,40,185530
0,3,3,40,186523
0,0,0,41,1045960
0,1,1,41,182011
0,2,2,41,191019
0,3,3,41,187013
0,0,0,42,33607
0,1,1,42,174876
0,2,2,42,183881
0,3,3,42,192874
0,0,0,43,130272
0,1,1,43,188420
0,2,2,43,193429
0,3,3,43,193420
0,0,0,44,130824
0,1,1,44,187716
0,2,2,44,188720
0,3,3,44,188718
0,0,0,45,1056718
0,1,1,45,200182
0,2,2,45,200190
0,3,3,45,200183
0,0,0,46,41199
0,1,1,46,182294
0,2,2,46,182293
0,3,3,46,182296
0,0,0,47,143817
0,1,1,47,196786
0,2,2,47,187786
0,3,3,47,196787
0,0,0,48,126549
0,1,1,48,187037
0,2,2,48,171039
0,3,3,48,193038
0,0,0,49,1046733
0,1,1,49,191742
0,2,2,49,182744
0,3,3,49,191743
0,0,0,50,174570
0,1,1,50,182843
0,2,2,50,182851
0,3,3,50,182843
0,0,0,51,48001
0,1,1,51,194915
0,2,2,51,189919
0,3,3,51,194914
0,0,0,52,1048443
0,1,1,52,194499
0,2,2,52,194501
0,3,3,52,194497
0,0,0,53,1063390
0,1,1,53,182856
0,2,2,53,182859
0,3,3,53,182856
0,0,0,54,134864
0,1,1,54,182289
0,2,2,54,182291
0,3,3,54,181290
0,0,0,55,138803
0,1,1,55,187545
0,2,2,55,209549
0,3,3,55,192547
0,0,0,56,45749
0,1,1,56,185401
0,2,2,56,211401
0,3,3,56,190402
0,0,0,57,131305
0,1,1,57,193501
0,2,2,57,194501
0,3,3,57,183504
0,0,0,58,1051620
0,1,1,58,191138
0,2,2,58,190140
0,3,3,58,191139
0,0,0,59,1066583
0,1,1,59,182339
0,2,2,59,182339
0,3,3,59,182339
0,0,0,60,1053530
0,1,1,60,182574
0,2,2,60,182575
0,3,3,60,182576
0,0,0,61,69122
0,1,1,61,182857
0,2,2,61,182859
0,3,3,61,182857
0,0,0,62,185932
0,1,1,62,198685
0,2,2,62,194688
0,3,3,62,190687
0,0,0,63,150703
0,1,1,63,185797
0,2,2,63,181805
0,3,3,63,190796
0,0,0,64,1080112
0,1,1,64,186097
0,2,2,64,200100
0,3,3,64,202094
0,0,0,65,159682
0,1,1,65,182809
0,2,2,65,182817
0,3,3,65,182809
0,0,0,66,149348
0,1,1,66,197042
0,2,2,66,199045
0,3,3,66,197042
0,0,0,67,27453
0,1,1,67,181715
0,2,2,67,181723
0,3,3,67,181713
0,0,0,68,1081515
0,1,1,68,196520
0,2,2,68,192529
0,3,3,68,201518
0,0,0,69,1061861
0,1,1,69,192825
0,2,2,69,188831
0,3,3,69,184823
0,0,0,70,156223
0,1,1,70,182786
0,2,2,70,191782
0,3,3,70,187782
0,0,0,71,129014
0,1,1,71,188934
0,2,2,71,189942
0,3,3,71,191934
0,0,0,72,51773
0,1,1,72,190051
0,2,2,72,193057
0,3,3,72,191049
0,0,0,73,1062678
0,1,1,73,193197
0,2,2,73,193204
0,3,3,73,193195
0,0,0,74,140055
0,1,1,74,180348
0,2,2,74,182351
0,3,3,74,182348
0,0,0,75,61606
0,1,1,75,197509
0,2,2,75,206507
0,3,3,75,202506
0,0,0,76,1066577
0,1,1,76,193601
0,2,2,76,189601
0,3,3,76,193604
0,0,0,77,1062298
0,1,1,77,181860
0,2,2,77,182860
0,3,3,77,182862
0,0,0,78,1053887
0,1,1,78,176382
0,2,2,78,177394
0,3,3,78,179381
0,0,0,79,35245
0,1,1,79,182314
0,2,2,79,172322
0,3,3,79,182314
0,0,0,80,120352
0,1,1,80,197707
0,2,2,80,181706
0,3,3,80,197704
0,0,0,81,154877
0,1,1,81,187445
0,2,2,81,184454
0,3,3,81,186445
0,0,0,82,1062608
0,1,1,82,187633
0,2,2,82,187634
0,3,3,82,187632
0,0,0,83,37871
0,1,1,83,188840
0,2,2,83,197846
0,3,3,83,180839
0,0,0,84,128778
0,1,1,84,186427
0,2,2,84,182427
0,3,3,84,182428
0,0,0,85,1061264
0,1,1,85,187315
0,2,2,85,181322
0,3,3,85,187318
0,0,0,86,47382
0,1,1,86,176868
0,2,2,86,177871
0,3,3,86,179870
0,0,0,87,1050923
0,1,1,87,192754
0,2,2,87,188755
0,3,3,87,188755
0,0,0,88,143474
0,1,1,88,182642
0,2,2,88,182644
0,3,3,88,182643
0,0,0,89,146024
0,1,1,89,182616
0,2,2,89,181618
0,3,3,89,182616
0,0,0,90,37618
0,1,1,90,181002
0,2,2,90,204010
0,3,3,90,187005
0,0,0,91,160607
0,1,1,91,183220
0,2,2,91,190228
0,3,3,91,190222
0,0,0,92,142227
0,1,1,92,191978
0,2,2,92,187977
0,3,3,92,191977
0,0,0,93,154177
0,1,1,93,194541
0,2,2,93,194549
0,3,3,93,194542
0,0,0,94,1069994
0,1,1,94,194501
0,2,2,94,194502
0,3,3,94,194503
0,0,0,95,198480
0,1,1,95,182331
0,2,2,95,182338
0,3,3,95,182333
0,0,0,96,127303
0,1,1,96,189477
0,2,2,96,185477
0,3,3,96,181480
0,0,0,97,48257
0,1,1,97,192803
0,2,2,97,180807
0,3,3,97,182805
