node_id,local_rank,rank,iteration,time_usec
0,0,0,0,31932
0,1,1,0,175381
0,2,2,0,181369
0,3,3,0,181374
0,0,0,1,143540
0,1,1,1,193299
0,2,2,1,198289
0,3,3,1,198291
0,0,0,2,49996
0,1,1,2,181366
0,2,2,2,194362
0,3,3,2,194375
0,0,0,3,1067413
0,1,1,3,190478
0,2,2,3,190469
0,3,3,3,190473
0,0,0,4,39952
0,1,1,4,182864
0,2,2,4,182860
0,3,3,4,176868
0,0,0,5,173881
0,1,1,5,197936
0,2,2,5,198931
0,3,3,5,192937
0,0,0,6,142361
0,1,1,6,190282
0,2,2,6,190277
0,3,3,6,188282
0,0,0,7,1052190
0,1,1,7,192308
0,2,2,7,194298
0,3,3,7,192302
0,0,0,8,39218
0,1,1,8,182934
0,2,2,8,182923
0,3,3,8,182930
0,0,0,9,3059341
0,1,1,9,198887
0,2,2,9,198879
0,3,3,9,198883
0,0,0,10,146470
0,1,1,10,182340
0,2,2,10,182332
0,3,3,10,182338
0,0,0,11,174966
0,1,1,11,198081
0,2,2,11,199072
0,3,3,11,190077
0,0,0,12,50419
0,1,1,12,181050
0,2,2,12,181039
0,3,3,12,181044
0,0,0,13,1070612
0,1,1,13,199180
0,2,2,13,200177
0,3,3,13,200182
0,0,0,14,41952
0,1,1,14,182379
0,2,2,14,182369
0,3,3,14,182375
0,0,0,15,162597
0,1,1,15,198666
0,2,2,15,199664
0,3,3,15,198670
0,0,0,16,93466
0,1,1,16,187953
0,2,2,16,193945
0,3,3,16,187950
0,0,0,17,130570
0,1,1,17,193608
0,2,2,17,193604
0,3,3,17,192609
0,0,0,18,1058716
0,1,1,18,181254
0,2,2,18,189243
0,3,3,18,189251
0,0,0,19,41552
0,1,1,19,182354
0,2,2,19,171347
0,3,3,19,182350
